ii,g_0_sproc,g_0_scob,g_0_valor,g_0_quitado,g_0_quitou,g_1_sproc,g_1_scob,g_1_valor,g_1_quitado,g_1_quitou,g_2_sproc,g_2_scob,g_2_valor,g_2_quitado,g_2_quitou
3417030-8,D,S,5218.0,2609.0,NAO,D,S,21641.0,5495.0,NAO,,,,,
3417031-6,D,S,5275.0,0.0,NAO,D,S,21874.0,5554.0,NAO,,,,,
3417032-4,D,S,3865.0,0.0,NAO,D,S,16027.0,4070.0,NAO,,,,,
3417033-2,D,S,7511.0,6985.23,SIM,D,S,31151.0,7909.0,NAO,,,,,
3417034-0,D,S,4277.0,0.0,NAO,D,S,17738.0,4505.0,NAO,,,,,
3417035-7,D,S,3429.0,0.0,NAO,D,S,14220.0,3611.0,NAO,,,,,
3417036-5,D,S,11004.0,5502.0,NAO,D,S,45641.0,11588.0,NAO,,,,,
3417037-3,D,S,5218.0,0.0,NAO,D,S,21641.0,5495.0,NAO,,,,,
3417038-1,D,S,4839.0,483.9,NAO,D,S,20069.0,5096.0,NAO,,,,,
3417039-9,D,S,5218.0,0.0,NAO,D,S,21641.0,5495.0,NAO,,,,,
3417040-7,D,S,2609.0,0.0,NAO,D,S,10816.0,2748.0,NAO,,,,,
3417041-5,D,S,2609.0,0.0,NAO,D,S,10816.0,2748.0,NAO,,,,,
3417042-3,D,S,2609.0,2426.37,SIM,D,S,10816.0,2748.0,NAO,,,,,
3417043-1,D,S,2609.0,0.0,NAO,D,S,10816.0,2748.0,NAO,,,,,
3417044-9,D,S,3628.0,0.0,NAO,D,S,15046.0,3821.0,NAO,,,,,
3417045-6,D,S,2609.0,2609.0,SIM,D,S,10816.0,2748.0,NAO,,,,,
3417046-4,D,S,2609.0,0.0,NAO,D,S,10816.0,2748.0,NAO,,,,,
3417047-2,D,S,5218.0,0.0,NAO,D,S,21641.0,5495.0,NAO,,,,,
3417048-0,D,S,5275.0,0.0,NAO,D,S,21874.0,5554.0,NAO,,,,,
3417049-8,D,S,3110.0,2892.3,SIM,D,S,12895.0,3275.0,NAO,,,,,
3417050-6,D,S,2609.0,1304.5,NAO,D,S,10816.0,2748.0,NAO,,,,,
3417051-4,D,S,2609.0,0.0,NAO,D,S,10816.0,2748.0,NAO,,,,,
3417052-2,D,S,2609.0,1304.5,NAO,D,S,10816.0,2748.0,NAO,,,,,
3417053-0,D,S,2609.0,0.0,NAO,D,S,10816.0,2748.0,NAO,,,,,
3417054-8,D,S,2609.0,2426.37,SIM,D,S,10816.0,2748.0,NAO,,,,,
3417055-5,D,S,3916.0,3641.88,SIM,D,S,16238.0,4124.0,NAO,,,,,
3417056-3,D,S,2609.0,2426.37,SIM,D,S,10816.0,2748.0,NAO,,,,,
3417057-1,D,S,3276.0,327.6,NAO,D,S,13587.0,3450.0,NAO,,,,,
3417058-9,D,S,3819.0,0.0,NAO,D,S,15837.0,4021.0,NAO,,,,,
3417059-7,D,S,982.0,0.0,NAO,D,S,4071.0,1035.0,NAO,,,,,
3417060-5,D,S,896.0,89.6,NAO,D,S,3710.0,943.0,NAO,,,,,
3417061-3,D,S,945.0,94.5,NAO,D,S,3916.0,996.0,NAO,,,,,
3417062-1,D,S,621.0,0.0,NAO,D,S,2573.0,654.0,NAO,,,,,
3417063-9,D,S,2604.0,0.0,NAO,D,S,10801.0,2743.0,NAO,,,,,
3417064-7,D,S,2595.0,0.0,NAO,D,S,10761.0,2733.0,NAO,,,,,
1878793-7,D,S,117740.0,117740.0,SIM,,,,,,,,,,
3417065-4,D,S,7091.0,0.0,NAO,D,S,29411.0,5013.0,NAO,,,,,
3417066-2,D,S,3647.0,3391.71,SIM,D,S,15121.0,2578.0,NAO,,,,,
3417067-0,D,S,3647.0,0.0,NAO,D,S,15121.0,2578.0,NAO,,,,,
3417068-8,D,S,3217.0,0.0,NAO,D,S,13340.0,2274.0,NAO,,,,,
3417069-6,D,S,1823.0,0.0,NAO,D,S,7558.0,1289.0,NAO,,,,,
3417070-4,D,S,3647.0,350.67,NAO,D,S,15121.0,2578.0,NAO,,,,,
3417071-2,D,S,37911.0,0.0,NAO,D,S,157242.0,26799.0,NAO,,,,,
3417072-0,D,S,2966.0,0.0,NAO,D,S,12297.0,2097.0,NAO,,,,,
3417073-8,D,S,1823.0,1823.0,SIM,D,S,7558.0,1289.0,NAO,,,,,
3417074-6,D,S,10460.0,0.0,NAO,D,S,43382.0,7394.0,NAO,,,,,
3417075-3,D,S,3457.0,3457.0,SIM,D,S,14334.0,2444.0,NAO,,,,,
3417076-1,D,S,14842.0,0.0,NAO,D,S,61560.0,10492.0,NAO,,,,,
3417077-9,D,S,10863.0,1086.3,NAO,D,S,45058.0,7680.0,NAO,,,,,
3417078-7,D,S,3865.0,0.0,NAO,D,S,16029.0,2733.0,NAO,,,,,
3417079-5,D,S,1823.0,182.3,NAO,D,S,7558.0,1289.0,NAO,,,,,
3417080-3,D,S,6903.0,6903.0,SIM,D,S,28626.0,4880.0,NAO,,,,,
3417081-1,D,S,3647.0,3647.0,SIM,D,S,15121.0,2578.0,NAO,,,,,
3417082-9,D,S,5602.0,5602.0,SIM,D,S,23235.0,3960.0,NAO,,,,,
3417083-7,D,S,2292.0,0.0,NAO,D,S,9504.0,1620.0,NAO,,,,,
3417084-5,D,S,6903.0,0.0,NAO,D,S,28626.0,4880.0,NAO,,,,,
3417085-2,D,S,4962.0,0.0,NAO,D,S,20577.0,3508.0,NAO,,,,,
3417086-0,D,S,2214.0,0.0,NAO,D,S,9180.0,1565.0,NAO,,,,,
3417087-8,D,S,4730.0,473.0,NAO,D,S,19618.0,3394.0,NAO,,,,,
3417088-6,D,S,4359.0,0.0,NAO,D,S,18075.0,3127.0,NAO,,,,,
3417089-4,D,S,18581.0,0.0,NAO,D,S,77063.0,13331.0,NAO,,,,,
3417090-2,D,S,9678.0,0.0,NAO,D,S,40139.0,6944.0,NAO,,,,,
3417091-0,D,S,5221.0,5221.0,SIM,D,S,21653.0,3746.0,NAO,,,,,
3417092-8,D,S,5208.0,5208.0,SIM,D,S,21596.0,3737.0,NAO,,,,,
