ii,g_1_sproc,g_1_scob,g_1_valor,g_1_quitado,g_1_quitou,g_2_sproc,g_2_scob,g_2_valor,g_2_quitado,g_2_quitou,g_3_sproc,g_3_scob,g_3_valor,g_3_quitado,g_3_quitou,g_4_sproc,g_4_scob,g_4_valor,g_4_quitado,g_4_quitou,g_5_sproc,g_5_scob,g_5_valor,g_5_quitado,g_5_quitou,g_6_sproc,g_6_scob,g_6_valor,g_6_quitado,g_6_quitou
3417031-6,D,S,5060.0,1242.0,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417032-4,D,S,3708.0,1251.98,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417033-2,D,S,7206.0,7059.77,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417034-0,D,S,4104.0,1008.0,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417035-7,D,S,3290.0,808.0,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417036-5,D,S,10557.0,10557.0,SIM,,,,,,,,,,,,,,,,,,,,,,,,,
3417037-3,D,S,5007.0,1229.0,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417038-1,D,S,4644.0,1140.0,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417039-9,D,S,5007.0,1229.0,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417040-7,D,S,2503.0,1482.01,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417041-5,D,S,2503.0,615.0,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417042-3,D,S,2503.0,615.0,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417043-1,D,S,2503.0,615.0,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417044-9,D,S,3481.0,855.0,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417045-6,D,S,2503.0,2400.33,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417046-4,D,S,2503.0,2503.0,SIM,,,,,,,,,,,,,,,,,,,,,,,,,
3417047-2,D,S,5007.0,1229.0,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417048-0,D,S,5060.0,1242.0,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417049-8,D,S,2983.0,732.0,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417050-6,D,S,2503.0,2503.0,SIM,,,,,,,,,,,,,,,,,,,,,,,,,
3417051-4,D,S,2503.0,615.0,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417052-2,D,S,2503.0,2503.0,SIM,,,,,,,,,,,,,,,,,,,,,,,,,
3417053-0,D,S,2503.0,615.0,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417054-8,D,S,2503.0,2327.79,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417055-5,D,S,3757.0,3494.01,NAO,,,,,,,,,,,,,,,,,,,,,,,,,
3417056-3,D,S,2503.0,2503.0,SIM,,,,,,,,,,,,,,,,,,,,,,,,,
3417057-1,D,S,3144.0,3144.0,SIM,,,,,,,,,,,,,,,,,,,,,,,,,
