ii,g_0_sproc,g_0_scob,g_0_valor,g_0_quitado,g_0_quitou,g_1_sproc,g_1_scob,g_1_valor,g_1_quitado,g_1_quitou,g_2_sproc,g_2_scob,g_2_valor,g_2_quitado,g_2_quitou,g_3_sproc,g_3_scob,g_3_valor,g_3_quitado,g_3_quitou,g_4_sproc,g_4_scob,g_4_valor,g_4_quitado,g_4_quitou
3417030-8,D,S,5218.0,2609.0,NAO,D,S,21641.0,5495.0,NAO,D,N,12039.0,7828.0,NAO,D,N,32256.0,5495.0,NAO,,,,,
3417065-4,D,S,7091.0,0.0,NAO,D,S,29411.0,5013.0,NAO,D,N,14537.0,1504.0,NAO,D,N,38952.0,5013.0,NAO,,,,,
3417105-8,D,S,18391.0,17103.63,SIM,D,S,76275.0,53392.5,NAO,D,N,38420.0,35493.0,NAO,D,N,102944.0,53393.0,NAO,,,,,
3417117-3,D,S,1806.0,0.0,NAO,D,S,7487.0,6962.91,SIM,D,N,4679.0,451.0,NAO,D,N,12532.0,6963.0,NAO,,,,,
3417135-5,D,S,1803.0,0.0,NAO,D,S,7471.0,1259.0,NAO,D,N,3672.0,377.0,NAO,D,N,9834.0,1259.0,NAO,,,,,
3417171-0,D,S,2495.0,0.0,NAO,D,S,10344.0,1638.0,NAO,D,N,4729.0,492.0,NAO,D,N,12671.0,1638.0,NAO,,,,,
3417188-4,D,S,8713.0,8103.09,SIM,D,S,36129.0,5196.0,NAO,D,N,14941.0,13895.13,SIM,D,N,40034.0,5196.0,NAO,,,,,
3417218-9,D,S,1695.0,1576.35,SIM,D,S,7026.0,1170.0,NAO,D,N,3485.0,2415.0,NAO,D,N,9337.0,1170.0,NAO,,,,,
3417248-6,D,S,1686.0,1567.98,SIM,D,S,6989.0,1106.0,NAO,D,N,3226.0,3000.18,SIM,D,N,8639.0,1106.0,NAO,,,,,
3417285-8,D,S,5721.0,0.0,NAO,D,S,23720.0,3377.0,NAO,D,N,9791.0,1013.0,NAO,D,N,26233.0,3377.0,NAO,,,,,
3417297-3,D,S,6330.0,0.0,NAO,D,S,26252.0,4449.0,NAO,D,N,13532.0,1335.0,NAO,D,N,36262.0,4449.0,NAO,,,,,
3417315-3,D,S,5818.0,0.0,NAO,D,S,26177.0,3260.0,NAO,D,N,10995.0,3296.0,NAO,D,N,29461.0,3260.0,NAO,,,,,
3417343-5,D,S,3069.0,3069.0,SIM,D,S,13804.0,2004.0,NAO,D,N,6741.0,3670.0,NAO,D,N,18060.0,2004.0,NAO,,,,,
3417385-6,D,S,2292.0,2131.56,SIM,D,S,10310.0,1532.0,NAO,D,N,5202.0,4380.0,NAO,D,N,13933.0,1532.0,NAO,,,,,
3417411-0,D,S,1977.0,197.7,NAO,D,S,8895.0,1153.0,NAO,D,N,3875.0,2135.0,NAO,D,N,10381.0,1153.0,NAO,,,,,
3417200-7,D,S,4415.0,0.0,NAO,D,S,18328.0,5946.0,NAO,D,N,10806.0,1189.0,NAO,D,N,28946.0,5946.0,NAO,,,,,
3417425-0,D,S,138278.0,96794.6,NAO,D,N,315753.0,207418.0,NAO,D,N,846078.0,462846.0,NAO,,,,,,,,,,
3417430-0,D,S,99326.0,0.0,NAO,D,N,223533.0,0.0,NAO,D,N,598924.0,0.0,NAO,,,,,,,,,,
3417431-8,D,S,72211.0,0.0,NAO,D,N,315053.0,0.0,NAO,D,N,844203.0,0.0,NAO,,,,,,,,,,
3417432-6,D,S,119331.0,0.0,NAO,I,S,118942.0,0.0,NAO,R,S,389.0,0.0,NAO,D,N,97783.0,0.0,NAO,D,N,261917.0,0.0,NAO
3417444-1,D,S,5645.0,5080.5,NAO,D,N,76701.0,10612.0,NAO,D,N,205549.0,0.0,NAO,,,,,,,,,,
3417459-9,D,S,2943.0,0.0,NAO,D,N,5071.0,0.0,NAO,D,N,13584.0,0.0,NAO,,,,,,,,,,
3417465-6,D,S,4211.0,4211.0,SIM,D,N,8264.0,7156.0,NAO,D,N,22144.0,12322.0,NAO,,,,,,,,,,
3417472-2,D,S,38779.0,36064.47,SIM,D,S,162298.0,32870.0,NAO,D,N,72503.0,67427.79,SIM,D,N,194246.0,32870.0,NAO,,,,,
3417480-5,D,S,2387.0,0.0,NAO,D,N,4576.0,0.0,NAO,D,N,12257.0,0.0,NAO,,,,,,,,,,
3417491-2,D,S,1107.0,0.0,NAO,D,N,3289.0,0.0,NAO,D,N,8810.0,0.0,NAO,,,,,,,,,,
3417498-7,D,S,11118.0,0.0,NAO,D,N,16695.0,0.0,NAO,D,N,44711.0,0.0,NAO,,,,,,,,,,
3417507-5,D,S,5125.0,4766.25,SIM,D,N,10395.0,9667.35,SIM,D,N,27847.0,21438.0,NAO,,,,,,,,,,
3417511-7,D,S,2146.0,0.0,NAO,D,N,3628.0,0.0,NAO,D,N,9707.0,0.0,NAO,,,,,,,,,,
3417519-0,D,S,173483.0,0.0,NAO,D,N,1047133.0,0.0,NAO,,,,,,,,,,,,,,,
