ii,g_0_sproc,g_0_scob,g_0_valor,g_0_quitado,g_0_quitou,g_1_sproc,g_1_scob,g_1_valor,g_1_quitado,g_1_quitou
1443837-8,D,D,1552.0,310.4,NAO,D,N,1147.0,1147.0,SIM
1443843-6,D,N,1552.0,1552.0,SIM,I,N,1147.0,1134.2,NAO
1443857-6,D,N,1552.0,1552.0,SIM,I,N,1147.0,688.18,NAO
1443868-3,D,N,1552.0,1443.36,SIM,D,N,1147.0,1147.0,SIM
1443879-0,D,N,2163.0,2163.0,SIM,I,N,1740.0,173.99,NAO
1443888-1,D,N,1552.0,1443.36,SIM,D,N,1147.0,1147.0,SIM
1443889-9,D,N,2163.0,2163.0,SIM,D,N,1740.0,1740.0,SIM
1443893-1,D,N,1552.0,1443.36,SIM,D,N,1147.0,1147.0,SIM
1443911-1,D,N,2163.0,2011.59,SIM,D,N,1740.0,1740.0,SIM
1443917-8,D,N,1552.0,1552.0,SIM,I,N,1147.0,1129.94,NAO
1443929-3,D,N,2163.0,2011.59,SIM,D,N,1740.0,1740.0,SIM
1443930-1,D,N,2136.0,2136.0,SIM,I,N,1719.0,1712.39,NAO
1443949-1,D,N,2163.0,2163.0,SIM,D,N,1740.0,1740.0,SIM
1443951-7,D,N,2163.0,2163.0,SIM,D,N,1740.0,1740.0,SIM
1443963-2,D,N,1552.0,1552.0,SIM,D,N,1147.0,1147.0,SIM
1443988-9,D,N,1552.0,1552.0,SIM,D,N,1147.0,1147.0,SIM
1443990-5,D,N,2136.0,2136.0,SIM,D,N,1719.0,1719.0,SIM
1443993-9,D,N,1552.0,1552.0,SIM,D,N,1147.0,1147.0,SIM
1444000-2,D,N,2136.0,2136.0,SIM,D,N,1719.0,1719.0,SIM
1444012-7,D,N,1552.0,1443.36,SIM,D,N,1147.0,1147.0,SIM
1444013-5,D,N,1552.0,1552.0,SIM,D,N,1147.0,1147.0,SIM
1444033-3,D,N,1552.0,1552.0,SIM,D,N,1147.0,1147.0,SIM
1444040-8,D,N,2136.0,1986.48,SIM,D,N,1719.0,1719.0,SIM
1444048-1,D,N,1552.0,1552.0,SIM,D,N,1147.0,1147.0,SIM
1444073-9,D,N,1552.0,1552.0,SIM,D,N,1147.0,1147.0,SIM
1444087-9,D,N,1577.0,1577.0,SIM,I,N,1165.0,815.47,NAO
1444090-3,D,N,2083.0,2083.0,SIM,D,N,1676.0,1676.0,SIM
1444093-7,D,N,1602.0,1602.0,SIM,D,N,1182.0,1182.0,SIM
1444096-0,D,N,2588.0,2588.0,SIM,D,N,2080.0,2080.0,SIM
1444109-1,D,N,2588.0,2588.0,SIM,D,N,2080.0,2080.0,SIM
1444120-8,D,N,4001.0,4001.0,SIM,D,N,2531.0,2531.0,SIM
1444125-7,D,N,2908.0,2908.0,SIM,D,N,2333.0,2333.0,SIM
1444130-7,D,N,2588.0,2588.0,SIM,D,N,2080.0,2080.0,SIM
1444135-6,D,N,3912.0,3638.16,SIM,D,N,2477.0,2477.0,SIM
1444137-2,D,N,2588.0,2588.0,SIM,D,N,2080.0,2080.0,SIM
1444144-8,D,N,2588.0,2588.0,SIM,D,N,2080.0,2080.0,SIM
1444155-4,D,N,4001.0,4001.0,SIM,I,N,2531.0,259.55,NAO
1444162-0,D,N,4001.0,3720.93,SIM,I,N,2531.0,2502.74,NAO
1444164-6,D,N,3764.0,3764.0,SIM,D,N,2386.0,2386.0,SIM
1444173-7,D,N,2588.0,2406.84,SIM,I,N,2080.0,2042.54,NAO
1444183-6,D,N,4001.0,4001.0,SIM,I,N,2531.0,0.0,NAO
1444187-7,D,N,2588.0,2406.84,SIM,D,N,2080.0,2080.0,SIM
1444194-3,D,N,2588.0,2406.84,SIM,D,N,2080.0,2080.0,SIM
1444202-4,D,N,2908.0,2896.81,NAO,D,N,2333.0,2333.0,SIM
1444204-0,D,N,4001.0,4001.0,SIM,D,N,2531.0,2531.0,SIM
1444205-7,D,N,3912.0,3912.0,SIM,D,N,2477.0,2477.0,SIM
1444206-5,D,N,3764.0,3764.0,SIM,D,N,2386.0,2386.0,SIM
1444213-1,D,N,3764.0,3764.0,SIM,I,N,2386.0,1431.59,NAO
1444219-8,D,N,3912.0,3638.16,SIM,I,N,2477.0,2430.93,NAO
1444220-6,D,N,3764.0,3764.0,SIM,D,N,2386.0,2386.0,SIM
1444222-2,D,N,2588.0,2588.0,SIM,D,N,2080.0,2080.0,SIM
1444227-1,D,N,3764.0,3764.0,SIM,D,N,2386.0,2386.0,SIM
1444234-7,D,N,3764.0,3764.0,SIM,D,N,2386.0,2386.0,SIM
1444244-6,D,N,2908.0,2908.0,SIM,D,N,2333.0,2333.0,SIM
1444256-0,D,N,2908.0,2908.0,SIM,D,N,2333.0,2333.0,SIM
1444257-8,D,N,2908.0,2704.44,SIM,D,N,2333.0,2333.0,SIM
1444264-4,D,N,2588.0,2406.84,SIM,D,N,2080.0,2080.0,SIM
1444268-5,D,N,8109.0,7541.37,SIM,D,N,5068.0,5068.0,SIM
1444269-3,D,N,4178.0,4178.0,SIM,D,N,2641.0,2641.0,SIM
1444286-7,D,N,4001.0,4001.0,SIM,D,N,2531.0,2531.0,SIM
1444292-5,D,N,2908.0,2704.44,SIM,D,N,2333.0,2333.0,SIM
