ii,dv,comp1,comp2,comp3,comp4,fracao_fiscal
3417030,8,BOX,1,PAV,11,",0420650"
3417031,6,BOX,"2,4",PAV,11,",0425170"
3417032,4,BOX,3,PAV,11,",0311560"
3417033,2,BOX,"5,7",PAV,11,",0605440"
3417034,0,BOX,6,PAV,11,",0344820"
3417035,7,BOX,8,PAV,11,",0276420"
3417036,5,BOX,"9,11,13,15",PAV,11,",0887010"
3417037,3,BOX,10,PAV,11,",0420650"
3417038,1,BOX,12,PAV,11,",0390120"
3417039,9,BOX,14,PAV,11,",0420650"
3417040,7,BOX,16,PAV,11,",0210320"
3417041,5,BOX,17,PAV,11,",0210320"
3417042,3,BOX,18,PAV,11,",0210320"
3417043,1,BOX,19,PAV,11,",0210320"
3417044,9,BOX,20,PAV,11,",0292510"
3417045,6,BOX,21,PAV,11,",0210320"
3417046,4,BOX,22,PAV,11,",0210320"
3417047,2,BOX,23,PAV,11,",0420650"
3417048,0,BOX,"24,26",PAV,11,",0425170"
3417049,8,BOX,25,PAV,11,",0250670"
3417050,6,BOX,27,PAV,11,",0210320"
3417051,4,BOX,28,PAV,11,",0210320"
3417052,2,BOX,29,PAV,11,",0210320"
3417053,0,BOX,30,PAV,11,",0210320"
3417054,8,BOX,31,PAV,11,",0210320"
3417055,5,BOX,32,PAV,11,",0315680"
3417056,3,BOX,33,PAV,11,",0210320"
3417057,1,BOX,34,PAV,11,",0264120"
3417058,9,BOX,A,PAV,11,",0307840"
3417059,7,BOX,B,PAV,11,",0079200"
3417060,5,BOX,C,PAV,11,",0072200"
3417061,3,BOX,D,PAV,11,",0076210"
3417062,1,BOX,E,PAV,11,",0050060"
3417063,9,BOX,F,PAV,11,",0209960"
3417064,7,BOX,G,PAV,11,",0209210"
1878793,7,,,,,"1,0000000"
3417065,4,BOX,"1,3",PAV,13,",0493820"
3417066,2,BOX,2,PAV,13,",0253940"
3417067,0,BOX,4,PAV,13,",0253940"
3417068,8,BOX,5,PAV,13,",0224010"
3417069,6,BOX,6,PAV,13,",0126970"
3417070,4,BOX,7,PAV,13,",0253940"
3417071,2,BOX,"8,10,12A22",PAV,13,",2639840"
3417072,0,BOX,9,PAV,13,",0206520"
3417073,8,BOX,11,PAV,13,",0126970"
3417074,6,BOX,"23,24,26",PAV,13,",0728390"
3417075,3,BOX,25,PAV,13,",0240720"
3417076,1,BOX,27 A 32,PAV,13,",1033490"
3417077,9,BOX,33 A 36,PAV,13,",0756490"
3417078,7,BOX,"37,39",PAV,13,",0269190"
3417079,5,BOX,38,PAV,13,",0126970"
3417080,3,BOX,40,PAV,13,",0480670"
3417081,1,BOX,42,PAV,13,",0253940"
3417082,9,BOX,"44,46",PAV,13,",0390130"
3417083,7,BOX,47,PAV,13,",0159610"
3417084,5,BOX,48,PAV,13,",0480670"
3417085,2,BOX,A,PAV,13,",0345540"
3417086,0,BOX,B,PAV,13,",0154170"
3417087,8,BOX,"1,2",PAV,14,",0334330"
3417088,6,BOX,"3,4",PAV,14,",0308040"
3417089,4,BOX,"5A10,12,14",PAV,14,",1313190"
3417090,2,BOX,"11,13,15",E,16,",0684000"
3417091,0,BOX,"17,18",PAV,14,",0369010"
3417092,8,BOX,19,PAV,14,",0368070"
3417093,6,BOX,20,PAV,14,",0153360"
3417094,4,BOX,21,PAV,14,",0140210"
3417095,1,BOX,22,PAV,14,",0184030"
3417096,9,BOX,23,PAV,14,",0149850"
3417097,7,BOX,24,PAV,14,",0349140"
3417098,5,BOX,25 A 29,PAV,14,",1157330"
3417099,3,BOX,30,PAV,14,",0122690"
3417100,9,BOX,"31,33",PAV,14,",0744030"
3417101,7,BOX,32,PAV,14,",0122690"
3417102,5,BOX,34,PAV,14,",0245380"
3417103,3,BOX,35,PAV,14,",0245380"
3417104,1,BOX,36,PAV,14,",0324250"
3417105,8,BOX,"37A41,43",E,45,",1299740"
3417106,6,BOX,"42,44",PAV,14,",0248010"
3417107,4,BOX,46,PAV,14,",0313120"
3417108,2,BOX,A,PAV,14,",0173520"
3417109,0,BOX,B,PAV,14,",0094640"
3417110,8,BOX,C,PAV,14,",0262910"
3417111,6,BOX,D,PAV,14,",0292950"
3417112,4,BOX,1,PAV,21,",0063560"
3417113,2,BOX,2,PAV,21,",0084750"
3417114,0,BOX,3,PAV,21,",0097470"
3417115,7,BOX,4,PAV,21,",0252590"
3417116,5,BOX,5,PAV,21,",8873890"
3417117,3,BOX,6,PAV,21,",0148320"
3417118,1,BOX,7,PAV,21,",0181160"
3417119,9,BOX,10,PAV,21,",0298220"
3417120,7,BOX,"1,2,3",PAV,22,",0751980"
3417121,5,BOX,4,PAV,22,",0186000"
3417122,3,BOX,5,PAV,22,",0356820"
3417123,1,BOX,"6,8",PAV,22,",0402560"
3417124,9,BOX,7,PAV,22,",0203460"
3417125,6,BOX,"9,11",PAV,22,",0571610"
3417126,4,BOX,10,PAV,22,",0243570"
3417127,2,BOX,12,PAV,22,",0124000"
3417128,0,BOX,13,PAV,22,",0159430"
3417129,8,BOX,"14,16",PAV,22,",0447610"
3417130,6,BOX,15,PAV,22,",0146140"
3417131,4,BOX,17,PAV,22,",0274570"
3417132,2,BOX,18,PAV,22,",0248000"
3417133,0,BOX,19,PAV,22,",0186000"
3417134,8,BOX,20,PAV,22,",0141710"
3417135,5,BOX,21,PAV,22,",0124000"
3417136,3,BOX,"22,24",PAV,22,",0416540"
3417137,1,BOX,23,PAV,22,",0203710"
3417138,9,BOX,25,PAV,22,",0248000"
3417139,7,BOX,"27,29",PAV,22,",0186000"
3417140,5,BOX,28,PAV,22,",0279890"
3417141,3,BOX,30,PAV,22,",0333920"
3417142,1,BOX,31,PAV,22,",0265720"
3417143,9,BOX,32,PAV,22,",0186000"
3417144,7,BOX,33,PAV,22,",0266980"
3417145,4,BOX,34,PAV,22,",0150570"
3417146,2,BOX,"35,37,39",PAV,22,",0607740"
3417147,0,BOX,36,PAV,22,",0310000"
3417148,8,BOX,38,PAV,22,",0198400"
3417149,6,BOX,"40,41,42",E,44,",0872250"
3417150,4,BOX,43,PAV,22,",0124000"
3417151,2,BOX,45,PAV,22,",0124000"
3417152,0,BOX,46,PAV,22,",0224210"
3417153,8,BOX,A,PAV,22,",0223200"
3417154,6,BOX,B,PAV,22,",0177140"
3417155,3,BOX,C,PAV,22,",0034100"
3417156,1,BOX,1 A 6,PAV,23,",1466180"
3417157,9,BOX,7 A 12,PAV,23,",0837870"
3417158,7,BOX,"13,15",PAV,23,",0542710"
3417159,5,BOX,"14,16,18",PAV,23,",0455170"
3417160,3,BOX,17,PAV,23,",0219340"
3417161,1,BOX,19 A 22,PAV,23,",0990260"
3417162,9,BOX,"23,25",PAV,23,",0411720"
3417163,7,BOX,"24,26,28",PAV,23,",0901670"
3417164,5,BOX,27,PAV,23,",0109670"
3417165,2,BOX,"29,31,33",PAV,23,",0739820"
3417166,0,BOX,32,PAV,23,",0163720"
3417167,8,BOX,"34,35,36",E,38,",0877220"
3417168,6,BOX,37,PAV,23,",0206490"
3417169,4,BOX,39 A 46,PAV,23,",1119110"
3417170,2,BOX,"48,50",PAV,23,",0381610"
3417171,0,BOX,A,PAV,23,",0161370"
3417172,8,BOX,B,PAV,23,",0274960"
3417173,6,BOX,C,PAV,23,",0109670"
3417174,4,BOX,D,PAV,23,",0031330"
3417175,1,BOX,"1,3,5",PAV,24,",0620380"
3417176,9,BOX,"2,4,6,8",PAV,24,",1242940"
3417177,7,BOX,7,PAV,24,",0203880"
3417178,5,BOX,"9,10",PAV,24,",0312730"
3417179,3,BOX,"13,14",PAV,24,",0255940"
3417180,1,BOX,"15,16,18",PAV,24,",0720130"
3417181,9,BOX,"17,19,20",E,21,",1240760"
3417182,7,BOX,22,PAV,24,",0101940"
3417183,5,BOX,"23,24",PAV,24,",0308370"
3417184,3,BOX,"25,26",PAV,24,",0339680"
3417185,0,BOX,"27,28",PAV,24,",0255940"
3417186,8,BOX,"29,30",PAV,24,",0337490"
3417187,6,BOX,31 A 36,PAV,24,",0985220"
3417188,4,BOX,"37,38",PAV,24,",0511880"
3417189,2,BOX,"39,40,42",PAV,24,",0720130"
3417190,0,BOX,"41,43,44",PAV,24,",0655640"
3417191,8,BOX,45,PAV,24,",0305820"
3417192,6,BOX,46,PAV,24,",0151450"
3417193,4,BOX,47,PAV,24,",0087370"
3417194,2,BOX,"48,50",PAV,24,",0455820"
3417195,9,BOX,A,PAV,24,",0050970"
3417196,7,BOX,B,PAV,24,",0135430"
3417199,1,BOX,30,PAV,30,",8302550"
3417200,7,BOX,30 A,PAV,30,",0848720"
3417201,5,BOX,30 HSBC,PAV,30,",0848720"
3417202,3,BOX,1,PAV,31,",0230540"
3417203,1,BOX,2,PAV,31,",0204190"
3417204,9,BOX,3,PAV,31,",0144080"
3417205,6,BOX,4,PAV,31,",0218420"
3417206,4,BOX,5,PAV,31,",0243710"
3417207,2,BOX,6,PAV,31,",0175370"
3417208,0,BOX,"7,9,11",PAV,31,",0482480"
3417209,8,BOX,8,PAV,31,",0269230"
3417210,6,BOX,10,PAV,31,",0082330"
3417211,4,BOX,12,PAV,31,",0233010"
3417212,2,BOX,13,PAV,31,",0141610"
3417213,0,BOX,14,PAV,31,",0172900"
3417214,8,BOX,15,PAV,31,",0139970"
3417215,5,BOX,16,PAV,31,",0172900"
3417216,3,BOX,17,PAV,31,",0115270"
3417217,1,BOX,"18,20",PAV,31,",0399440"
3417218,9,BOX,19,PAV,31,",0115270"
3417219,7,BOX,"21,22",PAV,31,",0365160"
3417220,5,BOX,23,PAV,31,",0137500"
3417221,3,BOX,24,PAV,31,",0223950"
3417222,1,BOX,25,PAV,31,",0202540"
3417223,9,BOX,26,PAV,31,",0172900"
3417224,7,BOX,"27,28",PAV,31,",0388210"
3417225,4,BOX,"29,30",PAV,31,",0336750"
3417226,2,BOX,"31,33 A 46",PAV,31,",3674180"
3417227,0,BOX,32,PAV,31,",0209950"
3417228,8,BOX,48,PAV,31,",0181130"
3417229,6,BOX,49,PAV,31,",0277470"
3417230,4,BOX,SANTANDER,PAV,31,",0289410"
3417231,2,BOX,"1,3,5",PAV,32,",0994410"
3417232,0,BOX,"2,4,6",PAV,32,",0434290"
3417233,8,BOX,7,PAV,32,",0180290"
3417234,6,BOX,8,PAV,32,",0217860"
3417235,3,BOX,9,PAV,32,",0326800"
3417236,1,BOX,10,PAV,32,",0138160"
3417237,9,BOX,"11,13",PAV,32,",0549330"
3417238,7,BOX,12,PAV,32,",0189850"
3417239,5,BOX,14,PAV,32,",0135380"
3417240,3,BOX,15,PAV,32,",0217860"
3417241,1,BOX,"16,18",PAV,32,",0417210"
3417242,9,BOX,"17,19",PAV,32,",0220200"
3417243,7,BOX,20,PAV,32,",0175680"
3417244,5,BOX,21,PAV,32,",0108930"
3417245,2,BOX,22,PAV,32,",0178960"
3417246,0,BOX,23,PAV,32,",0108930"
