ii,dv,comp1,comp2,comp3,comp4,comp5,comp6,fracao_fiscal
3417030,8,BOX,1,PAV,11,,,"0,042065"
3417031,6,BOX,"2,4",PAV,11,,,"0,042517"
3417032,4,BOX,3,PAV,11,,,"0,031156"
3417033,2,BOX,"5,7",PAV,11,,,"0,060544"
3417034,0,BOX,6,PAV,11,,,"0,034482"
3417035,7,BOX,8,PAV,11,,,"0,027642"
3417036,5,BOX,"9,11,13,15",PAV,11,,,"0,088701"
3417037,3,BOX,10,PAV,11,,,"0,042065"
3417038,1,BOX,12,PAV,11,,,"0,039012"
3417039,9,BOX,14,PAV,11,,,"0,042065"
3417040,7,BOX,16,PAV,11,,,"0,021032"
3417041,5,BOX,17,PAV,11,,,"0,021032"
3417042,3,BOX,18,PAV,11,,,"0,021032"
3417043,1,BOX,19,PAV,11,,,"0,021032"
3417044,9,BOX,20,PAV,11,,,"0,029251"
3417045,6,BOX,21,PAV,11,,,"0,021032"
3417046,4,BOX,22,PAV,11,,,"0,021032"
3417047,2,BOX,23,PAV,11,,,"0,042065"
3417048,0,BOX,"24,26",PAV,11,,,"0,042517"
3417049,8,BOX,25,PAV,11,,,"0,025067"
3417050,6,BOX,27,PAV,11,,,"0,021032"
3417051,4,BOX,28,PAV,11,,,"0,021032"
3417052,2,BOX,29,PAV,11,,,"0,021032"
3417053,0,BOX,30,PAV,11,,,"0,021032"
3417054,8,BOX,31,PAV,11,,,"0,021032"
3417055,5,BOX,32,PAV,11,,,"0,031568"
3417056,3,BOX,33,PAV,11,,,"0,021032"
3417057,1,BOX,34,PAV,11,,,"0,026412"
3417058,9,BOX,A,PAV,11,,,"0,030784"
3417059,7,BOX,B,PAV,11,,,"0,00792"
3417060,5,BOX,C,PAV,11,,,"0,00722"
3417061,3,BOX,D,PAV,11,,,"0,007621"
3417062,1,BOX,E,PAV,11,,,"0,005006"
3417063,9,BOX,F,PAV,11,,,"0,020996"
3417064,7,BOX,G,PAV,11,,,"0,020921"
1878793,7,,,,,,,1
3417065,4,BOX,"1,3",PAV,13,,,"0,049382"
3417066,2,BOX,2,PAV,13,,,"0,025394"
3417067,0,BOX,4,PAV,13,,,"0,025394"
3417068,8,BOX,5,PAV,13,,,"0,022401"
3417069,6,BOX,6,PAV,13,,,"0,012697"
3417070,4,BOX,7,PAV,13,,,"0,025394"
3417071,2,BOX,"8,10,12A22",PAV,13,,,"0,263984"
3417072,0,BOX,9,PAV,13,,,"0,020652"
3417073,8,BOX,11,PAV,13,,,"0,012697"
3417074,6,BOX,"23,24,26",PAV,13,,,"0,072839"
3417075,3,BOX,25,PAV,13,,,"0,024072"
3417076,1,BOX,27 A 32,PAV,13,,,"0,103349"
3417077,9,BOX,33 A 36,PAV,13,,,"0,075649"
3417078,7,BOX,"37,39",PAV,13,,,"0,026919"
3417079,5,BOX,38,PAV,13,,,"0,012697"
3417080,3,BOX,40,PAV,13,,,"0,048067"
3417081,1,BOX,42,PAV,13,,,"0,025394"
3417082,9,BOX,"44,46",PAV,13,,,"0,039013"
3417083,7,BOX,47,PAV,13,,,"0,015961"
3417084,5,BOX,48,PAV,13,,,"0,048067"
3417085,2,BOX,A,PAV,13,,,"0,034554"
3417086,0,BOX,B,PAV,13,,,"0,015417"
3417087,8,BOX,"1,2",PAV,14,,,"0,033433"
3417088,6,BOX,"3,4",PAV,14,,,"0,030804"
3417089,4,BOX,"5A10,12,14",PAV,14,,,"0,131319"
3417090,2,BOX,"11,13,15",E,16,PAV,14,"0,0684"
3417091,0,BOX,"17,18",PAV,14,,,"0,036901"
3417092,8,BOX,19,PAV,14,,,"0,036807"
3417093,6,BOX,20,PAV,14,,,"0,015336"
3417094,4,BOX,21,PAV,14,,,"0,014021"
3417095,1,BOX,22,PAV,14,,,"0,018403"
3417096,9,BOX,23,PAV,14,,,"0,014985"
