ii,dv,comp1,comp2,comp3,comp4,comp5,comp6,area_edificada,status
3417030,8,BOX,1,PAV,11,,,9642,0
1878793,7,,,,,,,9150,0
3417065,4,BOX,"1,3",PAV,13,,,11167,0
3417087,8,BOX,"1,2",PAV,14,,,11002,0
3417112,4,BOX,1,PAV,21,,,9465,0
3417120,7,BOX,"1,2,3",PAV,22,,,11306,0
3417156,1,BOX,1 A 6,PAV,23,,,12027,0
3417175,1,BOX,"1,3,5",PAV,24,,,13241,0
3417197,5,PAV,28,,,,,1119,0
3417198,3,PAV,29,,,,,570,0
3417199,1,BOX,30,PAV,30,,,4026,0
3417202,3,BOX,1,PAV,31,,,11439,0
3417231,2,BOX,"1,3,5",PAV,32,,,12040,0
3417265,0,BOX,1,PAV,33,,,13378,0
3417288,2,BOX,"1,3",PAV,34,,,11232,0
3417309,6,BOX,1,PAV,41,,,14100,0
3417334,4,BOX,1,PAV,42,,,12091,0
3417372,4,BOX,1,PAV,43,,,11813,0
3417400,3,BOX,"1,3",PAV,44,,,13546,0
3417526,5,PAV,51,,,,,1229,0
3417425,0,PAV,53,,,,,9774,0
3417426,8,PAV,"54,55",,,,,8709,0
3417427,6,PAV,56,,,,,2881,0
3417428,4,PAV,57 A,,,,,5306,0
3417429,2,PAV,57 B,,,,,2102,0
3417430,0,PAV,60,,,,,7013,0
3417431,8,PAV,61,,,,,5091,0
3417432,6,PAV,62,,,,,8431,0
3417433,4,PAV,63,,,,,242,0
3417434,2,BOX,"1,2",PAV,64,,,6815,0
3417451,6,BOX,"1,2",PAV,65,,,4198,0
1978993,2,,,,,,,2776,0
3417462,3,BOX,K,PAV,72,,,6142,0
3417468,0,BOX,1 A 4,PAV,73,,,6482,0
3417473,0,BOX,1,PAV,74,,,4001,0
3417488,8,BOX,1,PAV,75,,,3156,0
3417495,3,BOX,1,PAV,76,,,3961,0
3417502,6,BOX,1,PAV,77,,,7916,0
3417508,3,BOX,"1,2",PAV,78,,,1375,0
3417513,3,PAV,79,,,,,330,0
3417514,1,PAV,81 TREMBAO,,,,,9781,0
3417515,8,PAV,82,,,,,1157,0
3417516,6,PAV,100,,,,,8924,0
3417517,4,PAV,300,,,,,840,0
3417518,2,PAV,400,,,,,3739,0
3417519,0,PAV,500,,,,,11247,0
3417520,8,PAV,600,,,,,7300,0
3417521,6,PAV,700,,,,,13584,0
3417522,4,BOX,GLP 17,PAV,700,,,2635,0
3417523,2,PAV,800,,,,,482,0
3417524,0,PAV,900-1,,,,,950,0
3417525,7,PAV,900-2,,,,,1662,0
3417527,3,PAV,RESPOPULAR,,,,,5507,0
3417528,1,PAV,DETRAN 1,,,,,3082,0
3417529,9,PAV,DETRAN 2,,,,,313,0
3417530,7,PAV,DETRAN 3,,,,,1194,0
